rel_path,ext,title_guess,doi,isbn,converted_md
99645_TOURREIL_2019_archivage.pdf,.pdf,Anthropologie rituelle autour de la maladie et de la mort en,10.4000/afriques.1134,,converted/99645_TOURREIL_2019_archivage.pdf.md
Alfred Métraux - The Dennis Wheatley Library of the Occult - Vol. 19 - Voodoo.pdf,.pdf,The Dennis Wheatley Library of the Occult,,,converted/Alfred Métraux - The Dennis Wheatley Library of the Occult - Vol. 19 - Voodoo.pdf.md
lesprit-du-don.pdf,.pdf,Jacques T. Godbout,,,converted/lesprit-du-don.pdf.md
M15063.pdf,.pdf,UNIVERSITÉ DU QUÉBEC À MONTRÉAL,,,converted/M15063.pdf.md
Mauss - The Gift.pdf,.pdf,The Gift,,,converted/Mauss - The Gift.pdf.md
MAX-WEBER.pdf,.pdf,MAX-WEBER.pdf,,,converted/MAX-WEBER.pdf.md
"original_path,destination_path,extension,readable,.txt",.txt,"original_path,destination_path,extension,readable,.txt",10.6028/NIST.AI.100-1;10.6084/m9,,"converted/original_path,destination_path,extension,readable,.txt.md"
[.txt,.txt,[.txt,10.6028/NIST.AI.100-1;10.6084/m9,,converted/[.txt.md
2026-04-18_martin-lepage-uqam-annotated-bibliography-report.md,.md,2026-04-18_martin-lepage-uqam-annotated-bibliography-report.md,10.1177/0008429817710971;10.1558/pome.v15i1-2.79;10.3138/anth.582.A02;10.4324/9780429456923-11,9780199608447;9780429456923-11,converted/2026-04-18_martin-lepage-uqam-annotated-bibliography-report.md.md
AI PERKS.pdf,.pdf,AI PERKS.pdf,,,converted/AI PERKS.pdf.md
Phenom-Herme-Heuri.pdf,.pdf,Phenom-Herme-Heuri.pdf,,,converted/Phenom-Herme-Heuri.pdf.md
"Not_Mine/abstract/Governance by Denial How Legibility, Capacity, and.txt",.txt,"Governance by Denial: How Legibility, Capacity, and Classification Rewire Accountability",10.1007/s13347-024-00818-9;10.1017/S0020818305050010;10.1017/eis.2025.2;10.1093/ccc/tcaf032;10.1146/annurev.soc.012809.102632;10.1177/0963721417718261;10.1177/09670106221125041;10.1257/jep.33.4.100;10.1353/jod.2016.0012;10.1353/jod.2019.0039,9781483376493,"converted/Not_Mine/abstract/Governance by Denial How Legibility, Capacity, and.txt.md"
