rel_path,abs_path,ext,size_bytes,mtime_utc,pages_total,pages_ocrd,converted_md,ocr_text,doi,isbn,status,error
Review/Unreadable/%PDF-1.3.txt,/mnt/d/LIBRARY/Review/Unreadable/%PDF-1.3.txt,.txt,179422,2017-08-10T15:28:50+00:00,0,,converted_ocr/Review/Unreadable/%PDF-1.3.txt.md,,,,ok,
Review/Unreadable/%PDF-1.4 Sharp Scanned ImagePDF.txt,/mnt/d/LIBRARY/Review/Unreadable/%PDF-1.4 Sharp Scanned ImagePDF.txt,.txt,24269443,2026-02-09T13:18:08+00:00,0,,converted_ocr/Review/Unreadable/%PDF-1.4 Sharp Scanned ImagePDF.txt.md,,,,ok,
Review/Unreadable/%PDF-1.4.txt,/mnt/d/LIBRARY/Review/Unreadable/%PDF-1.4.txt,.txt,213713,2025-05-08T22:01:16+00:00,0,,converted_ocr/Review/Unreadable/%PDF-1.4.txt.md,,,,ok,
Review/Unreadable/%PDF-1.5.txt,/mnt/d/LIBRARY/Review/Unreadable/%PDF-1.5.txt,.txt,303670,2021-12-23T22:21:36+00:00,0,,converted_ocr/Review/Unreadable/%PDF-1.5.txt.md,,,,ok,
Review/Unreadable/%PDF-1.6.txt,/mnt/d/LIBRARY/Review/Unreadable/%PDF-1.6.txt,.txt,5772940,2026-02-26T21:58:54+00:00,0,,converted_ocr/Review/Unreadable/%PDF-1.6.txt.md,,,,ok,
Review/Unreadable/%PDF-1.7.txt,/mnt/d/LIBRARY/Review/Unreadable/%PDF-1.7.txt,.txt,256803,2021-12-04T20:10:56+00:00,0,,converted_ocr/Review/Unreadable/%PDF-1.7.txt.md,,,,ok,
"Review/Unreadable/)]}',.txt","/mnt/d/LIBRARY/Review/Unreadable/)]}',.txt",.txt,23958,2025-05-08T22:01:16+00:00,0,,"converted_ocr/Review/Unreadable/)]}',.txt.md",,,,ok,
Review/Unreadable/1971 - tax_or_finance [2].pdf - 1971 - tax_or_finance [2].pdf.pdf - 1971 - tax_or_finance [2].pdf - 1971 - tax_or_finance [2].pdf.pdf.pdf,/mnt/d/LIBRARY/Review/Unreadable/1971 - tax_or_finance [2].pdf - 1971 - tax_or_finance [2].pdf.pdf - 1971 - tax_or_finance [2].pdf - 1971 - tax_or_finance [2].pdf.pdf.pdf,.pdf,214295,2025-05-08T22:01:16+00:00,0,,converted_ocr/Review/Unreadable/1971 - tax_or_finance [2].pdf - 1971 - tax_or_finance [2].pdf.pdf - 1971 - tax_or_finance [2].pdf - 1971 - tax_or_finance [2].pdf.pdf.pdf.md,,,,ok,
Review/Unreadable/1971 - tax_or_finance [3].pdf - 1971 - tax_or_finance [3].pdf.pdf - 1971 - tax_or_finance [3].pdf - 1971 - tax_or_finance [3].pdf.pdf.pdf,/mnt/d/LIBRARY/Review/Unreadable/1971 - tax_or_finance [3].pdf - 1971 - tax_or_finance [3].pdf.pdf - 1971 - tax_or_finance [3].pdf - 1971 - tax_or_finance [3].pdf.pdf.pdf,.pdf,213718,2025-05-08T22:01:16+00:00,0,,converted_ocr/Review/Unreadable/1971 - tax_or_finance [3].pdf - 1971 - tax_or_finance [3].pdf.pdf - 1971 - tax_or_finance [3].pdf - 1971 - tax_or_finance [3].pdf.pdf.pdf.md,,,,ok,
Review/Unreadable/1980 - Martin Lepage - De la quete a la transfiguration spiritualite p - 1980 - Martin Lepage - De la quete a la transfiguration spiritualite poetique et allegorie moderne dans les premi.docx - 1980 - Martin.docx,/mnt/d/LIBRARY/Review/Unreadable/1980 - Martin Lepage - De la quete a la transfiguration spiritualite p - 1980 - Martin Lepage - De la quete a la transfiguration spiritualite poetique et allegorie moderne dans les premi.docx - 1980 - Martin.docx,.docx,19602,2025-04-21T00:28:00+00:00,0,,converted_ocr/Review/Unreadable/1980 - Martin Lepage - De la quete a la transfiguration spiritualite p - 1980 - Martin Lepage - De la quete a la transfi__18083fc4adfa.md,,,,ok,
