rel_path,ext,doi,isbn,converted_md,ocr_text
Review/Unreadable/1996 - journal_article.pdf - 1996 - journal_article.pdf.pdf - 1996 - journal_article.pdf - 1996 - journal_article.pdf.pdf.pdf,.pdf,10.3983/twc.2023.2200,,converted_ocr/Review/Unreadable/1996 - journal_article.pdf - 1996 - journal_article.pdf.pdf - 1996 - journal_article.pdf - 1996 - journal_article.pdf.pdf.pdf.md,
Review/Unreadable/1998 - journal_article.docx - 1998 - journal_article.docx.docx - 1998 - journal_article.docx - 1998 - journal_article.docx.docx.docx,.docx,,9780203490198;9780415947022,converted_ocr/Review/Unreadable/1998 - journal_article.docx - 1998 - journal_article.docx.docx - 1998 - journal_article.docx - 1998 - journal_article.docx.docx.docx.md,
Review/Unreadable/1998 - journal_article_1.docx - 1998 - journal_article_1.docx.docx - 1998 - journal_article_1.docx - 1998 - journal_article_1.docx.docx.docx,.docx,,9780203490198;9780415947022,converted_ocr/Review/Unreadable/1998 - journal_article_1.docx - 1998 - journal_article_1.docx.docx - 1998 - journal_article_1.docx - 1998 - journal_article_1.docx.docx.docx.md,
Review/Unreadable/1999 - Paganisme(s) queer.pdf - 1999 - Paganisme(s) queer.pdf.pdf - 1999 - Paganisme(s) queer.pdf - 1999 - Paganisme(s) queer.pdf.pdf.pdf,.pdf,10.1558/pome.v15i1-2.79,,converted_ocr/Review/Unreadable/1999 - Paganisme(s) queer.pdf - 1999 - Paganisme(s) queer.pdf.pdf - 1999 - Paganisme(s) queer.pdf - 1999 - Paganisme(s) queer.pdf.pdf.pdf.md,
Review/Unreadable/2004 - TRUE.pdf - 2004 - TRUE.pdf.pdf - 2004 - TRUE.pdf - 2004 - TRUE.pdf.pdf.pdf,.pdf,10.3917/rdm.023.0133,,converted_ocr/Review/Unreadable/2004 - TRUE.pdf - 2004 - TRUE.pdf.pdf - 2004 - TRUE.pdf - 2004 - TRUE.pdf.pdf.pdf.md,
Review/Unreadable/2005 - journal_article.pdf - 2005 - journal_article.pdf.pdf - 2005 - journal_article.pdf - 2005 - journal_article.pdf.pdf.pdf,.pdf,10.1017/S0020818305050010,,converted_ocr/Review/Unreadable/2005 - journal_article.pdf - 2005 - journal_article.pdf.pdf - 2005 - journal_article.pdf - 2005 - journal_article.pdf.pdf.pdf.md,
Review/Unreadable/2006 - The Meanings of Magic.pdf - 2006 - The Meanings of Magic.pdf.pdf - 2006 - The Meanings of Magic.pdf - 2006 - The Meanings of Magic.pdf.pdf.pdf,.pdf,10.1353/mrw.0.0052,,converted_ocr/Review/Unreadable/2006 - The Meanings of Magic.pdf - 2006 - The Meanings of Magic.pdf.pdf - 2006 - The Meanings of Magic.pdf - 2006 - The Meanings of Magic.pdf.pdf.pdf.md,
Review/Unreadable/2007 - Journal of Humanistic Psychology.pdf - 2007 - Journal of Humanistic Psychology.pdf.pdf - 2007 - Journal of Humanistic Psychology.pdf - 2007 - Journal of Humanistic Psychology.pdf.pdf.pdf,.pdf,10.1177/0022167818762916;10.1177/0022167820917484;10.1177/0022167820918691;10.1177/0022167820938612;10.1177/1468794120985676;10.1177/2043610619900518,,converted_ocr/Review/Unreadable/2007 - Journal of Humanistic Psychology.pdf - 2007 - Journal of Humanistic Psychology.pdf.pdf - 2007 - Journal of Humani__7391712da79a.md,
Review/Unreadable/2008 - Journal of the American Academy of Religion.docx - 2008 - Journ - 2008 - Journal of the American Academy of Religion.docx - 2008 - Journal of the American Academy of Religion.docx.docx.docx,.docx,10.1086/588263,,converted_ocr/Review/Unreadable/2008 - Journal of the American Academy of Religion.docx - 2008 - Journ - 2008 - Journal of the American Academy of Relig__4d5bd7f6bbfa.md,
Review/Unreadable/2009 - JourNal of.pdf - 2009 - JourNal of.pdf.pdf - 2009 - JourNal of.pdf - 2009 - JourNal of.pdf.pdf.pdf,.pdf,10.5117/CMS2013.1.KAUN,,converted_ocr/Review/Unreadable/2009 - JourNal of.pdf - 2009 - JourNal of.pdf.pdf - 2009 - JourNal of.pdf - 2009 - JourNal of.pdf.pdf.pdf.md,
