folder,files,bytes,latest_modified
KK,273,32690564110,2026-04-18T18:35:57.1489395-04:00
AVATAR-DARK HORSE,8,322206774,2025-05-15T18:12:04.0000000-04:00
Defence-1.m4a,1,275609881,2017-03-25T12:15:40.0760000-04:00
AI,188,246927648,2026-04-09T12:05:47.2970000-04:00
Shared with ChatGPT,114,178095715,2026-04-18T18:35:57.1489395-04:00
RPReplay_Final1775706359.MOV,1,65356473,2026-04-09T01:40:38.7450000-04:00
Presentation_Paganisme_LGBTQ_Illustrated_Placeholders 1.pptx,1,45363918,2025-10-18T16:02:56.0290000-04:00
Archives,2,33960051,2025-01-18T13:39:05.7290000-05:00
04ADE4F7-498E-4664-9C11-62559F521CF2.MOV,1,33218056,2026-04-02T19:58:39.8610000-04:00
Impôts,23,18734568,2026-03-07T20:39:00.1920000-05:00
Obsidian Agent Vault  The Memory Layer.mp4,1,7132063,2026-04-16T21:23:11.3170000-04:00
AltarsTRUE.docx,1,7111361,2026-02-07T02:31:42.1640000-05:00
AI_Governance_Whos_the_Boob_Whos_the_Trap_40k_Target (2).docx,1,3906645,2026-03-21T05:37:20.5260000-04:00
txt2.zip,1,3475515,2026-03-18T03:33:18.0000000-04:00
3E2677A1-5A09-4A21-BFDF-6158A8F786C2.JPG,1,2274244,2025-11-09T16:04:45.7090000-05:00
Gemini_Generated_Image_ue2yctue2yctue2y.png,1,2111281,2026-03-07T09:38:03.0000000-05:00
Gemini_Generated_Image_ffj3effj3effj3ef.png,1,2104310,2026-03-07T09:42:04.0000000-05:00
Enregistré depuis Chrome,1,1729844,2026-04-14T12:51:05.6010000-04:00
SoutenanceMLepage.pptx,1,1458160,2017-03-25T12:25:51.9420000-04:00
AI_Governance_Whos_the_Boob_Whos_the_Trap_40k_Target.docx,1,744105,2026-03-19T20:05:33.0620000-04:00
logoFINAL.jpg,1,635427,2026-03-06T00:18:04.0000000-05:00
PHAROS_Invention_Disclosure_v6_pointer.docx,1,586067,2026-03-28T15:20:39.9500000-04:00
F8A75D40-6CED-47E6-9CAB-2515430BCF34.JPEG,1,509442,2025-05-15T18:30:51.1860000-04:00
Agatha-Dottie-Mobi,11,405780,2026-04-18T18:35:57.1489395-04:00
BREATH OF THE ASTRAL YEAR_.package-revised.docx,1,395639,2026-03-17T00:12:07.6300000-04:00
"Capture d’écran, le 2026-03-21 à 12.32.12.jpeg.png",1,333907,2026-03-21T12:32:35.3940000-04:00
CALIANCONTRACT.pdf,1,310959,2025-10-25T08:45:03.3160000-04:00
TXT,4,289920,2026-03-18T03:26:52.0000000-04:00
codex-skills,124,230252,2026-04-18T18:35:57.1489395-04:00
CVACADedu2026.docx,1,202890,2025-12-30T16:58:06.3690000-05:00
cvmartinlepage2025ENG-ACAD.docx,1,202738,2025-12-24T20:41:31.9510000-05:00
COMPASSAI.jpg,1,186763,2026-03-05T23:15:58.5980000-05:00
800__copycat_blu-ray_subs_.jpg,1,126550,2021-11-08T12:52:40.0000000-05:00
AG3_Revised_Tracked_Clean_v2.docx,1,94748,2026-02-23T17:27:28.3030000-05:00
SocialCompassWiccaAgatha_V3_REVISED_TRACKED_CLEAN.docx,1,88974,2026-02-23T17:33:10.0000000-05:00
Bait-and-Switch With Impersonation in Sexual Encounters.pdf,1,84382,2026-04-07T06:31:27.6560000-04:00
for_matt_easy_read.pdf,1,66487,2026-03-21T11:47:24.0000000-04:00
28270acd-e221-40a0-bae1-d5edfad7163a,1,61803,2026-03-21T12:31:45.4190000-04:00
pour_hugues.pdf,1,49239,2026-03-21T12:07:04.0000000-04:00
pour_maman.pdf,1,44569,2026-03-21T12:14:44.0000000-04:00
