source,root,path,name,ext,is_dir,size,modified,topic,normalized_stem
drive,G:\Mon disque,G:\Mon disque\AVATAR-DARK HORSE,AVATAR-DARK HORSE,,True,0,2024-09-14T17:46:46.4950000-04:00,other,avatar dark horse
drive,G:\Mon disque,G:\Mon disque\Impôts,Impôts,,True,0,2025-02-10T16:28:37.6230000-05:00,other,impots
drive,G:\Mon disque,G:\Mon disque\VIGIL,VIGIL,,True,0,2025-08-02T19:01:16.4790000-04:00,other,vigil
drive,G:\Mon disque,G:\Mon disque\AHS,AHS,,True,0,2025-08-02T19:04:32.0380000-04:00,other,ahs
drive,G:\Mon disque,G:\Mon disque\Archives,Archives,,True,0,2025-10-14T01:22:24.2100000-04:00,other,archives
drive,G:\Mon disque,G:\Mon disque\AI,AI,,True,0,2026-01-30T20:59:49.3800000-05:00,other,ai
drive,G:\Mon disque,G:\Mon disque\Resumes&Jobs,Resumes&Jobs,,True,0,2026-01-30T21:07:19.9200000-05:00,cv_resume,resumes and jobs
drive,G:\Mon disque,G:\Mon disque\Dossier sans titre,Dossier sans titre,,True,0,2026-03-07T03:27:00.3890000-05:00,other,dossier sans titre
drive,G:\Mon disque,G:\Mon disque\TXT,TXT,,True,0,2026-03-18T02:05:59.1870000-04:00,other,txt
drive,G:\Mon disque,G:\Mon disque\ma-degree-guide,ma-degree-guide,,True,0,2026-03-21T11:21:36.1110000-04:00,other,ma degree guide
drive,G:\Mon disque,G:\Mon disque\SKILLS-md,SKILLS-md,,True,0,2026-03-21T13:45:41.3870000-04:00,other,skills md
drive,G:\Mon disque,G:\Mon disque\Agatha-Dottie-Mobi,Agatha-Dottie-Mobi,,True,0,2026-04-06T17:10:46.8820000-04:00,other,agatha dottie mobi
drive,G:\Mon disque,G:\Mon disque\AurorAI+CompassAI,AurorAI+CompassAI,,True,0,2026-04-06T17:11:48.6200000-04:00,other,aurorai compassai
drive,G:\Mon disque,G:\Mon disque\codex-skills,codex-skills,,True,0,2026-04-06T17:12:06.1580000-04:00,other,codex skills
drive,G:\Mon disque,G:\Mon disque\Shared with ChatGPT,Shared with ChatGPT,,True,0,2026-04-06T17:12:41.6130000-04:00,other,shared with chatgpt
drive,G:\Mon disque,G:\Mon disque\Enregistré depuis Chrome,Enregistré depuis Chrome,,True,0,2026-04-14T12:51:03.5450000-04:00,other,enregistre depuis chrome
