source,root,path,name,ext,is_dir,size,modified,topic,normalized_stem
local,/mnt/c/Users/softinfo/Downloads,/mnt/c/Users/softinfo/Downloads/Phone Link,Phone Link,,True,0,2026-04-04T18:19:22.087828-04:00,other,phone link
local,/mnt/c/Users/softinfo/Downloads,/mnt/c/Users/softinfo/Downloads/Document sans titre.md,Document sans titre.md,.md,False,102445,2026-04-16T23:41:45.169762-04:00,other,document sans titre
local,/mnt/c/Users/softinfo/Downloads,/mnt/c/Users/softinfo/Downloads/GUIDE_rest-and-consolidation.md,GUIDE_rest-and-consolidation.md,.md,False,8036,2026-04-17T20:24:43.898278-04:00,other,guide rest and consolidation
local,/mnt/c/Users/softinfo/Downloads,/mnt/c/Users/softinfo/Downloads/L99-DEMOTION-TO-ARGUS.md,L99-DEMOTION-TO-ARGUS.md,.md,False,10950,2026-04-17T23:20:43.252450-04:00,pharos,l99 demotion to argus
local,/mnt/c/Users/softinfo/Downloads,/mnt/c/Users/softinfo/Downloads/obsidian-vault-slides.html,obsidian-vault-slides.html,.html,False,41035,2026-04-16T20:54:16.421885-04:00,other,obsidian vault slides
local,/mnt/c/Users/softinfo/Downloads,/mnt/c/Users/softinfo/Downloads/obsidian-vault-slides.pdf,obsidian-vault-slides.pdf,.pdf,False,159722,2026-04-16T23:37:14.920828-04:00,other,obsidian vault slides
local,/mnt/c/Users/softinfo/Downloads,/mnt/c/Users/softinfo/Downloads/PLAN-OF-ACTION-2026-04-18.md.docx,PLAN-OF-ACTION-2026-04-18.md.docx,.docx,False,221397,2026-04-18T04:18:56.406164-04:00,other,plan of action 2026 04 18 md
local,/mnt/c/Users/softinfo/Downloads,/mnt/c/Users/softinfo/Downloads/RIGHT-ARM-EXTENSION-DECISION.md,RIGHT-ARM-EXTENSION-DECISION.md,.md,False,7528,2026-04-18T08:35:07.900222-04:00,other,right arm extension decision
local,/mnt/c/Users/softinfo/Downloads,/mnt/c/Users/softinfo/Downloads/Texte collé.txt,Texte collé.txt,.txt,False,34783,2026-04-16T00:05:35.209061-04:00,other,texte colle
local,/mnt/c/Users/softinfo/Downloads,/mnt/c/Users/softinfo/Downloads/Phone Link/2015.96735.A-Romance-Of-Two-Worlds-Ed24th.pdf,2015.96735.A-Romance-Of-Two-Worlds-Ed24th.pdf,.pdf,False,25435909,2026-04-03T14:59:24.775655-04:00,other,2015 96735 a romance of two worlds ed24th
