source,root,path,name,ext,is_dir,size,modified,topic,normalized_stem
local,/home/cerebrhoe/governance-project,/home/cerebrhoe/governance-project/DATA,DATA,,True,0,2026-03-24T08:30:38.433595-04:00,ai_governance,data
local,/home/cerebrhoe/governance-project,/home/cerebrhoe/governance-project/01_PHASE1_IGNITION_LABORATORY_GOVERNANCE_PROTOCOL,01_PHASE1_IGNITION_LABORATORY_GOVERNANCE_PROTOCOL,,True,0,2026-03-24T08:39:42.691454-04:00,ai_governance,01 phase1 ignition laboratory governance protocol
local,/home/cerebrhoe/governance-project,/home/cerebrhoe/governance-project/00_ROOT_AND_ARCHIVE_LOGIC,00_ROOT_AND_ARCHIVE_LOGIC,,True,0,2026-03-24T08:35:25.395021-04:00,ai_governance,00 root and archive logic
local,/home/cerebrhoe/governance-project,/home/cerebrhoe/governance-project/02_GOVERNANCE_REVISION_SKILLS_META,02_GOVERNANCE_REVISION_SKILLS_META,,True,0,2026-03-24T08:42:38.797239-04:00,ai_governance,02 governance revision skills meta
local,/home/cerebrhoe/governance-project,/home/cerebrhoe/governance-project/03_CONTINUITY_COUPLING_TOPOLOGY,03_CONTINUITY_COUPLING_TOPOLOGY,,True,0,2026-03-24T08:44:32.540979-04:00,ai_governance,03 continuity coupling topology
local,/home/cerebrhoe/governance-project,/home/cerebrhoe/governance-project/99_SUBMISSION_PACKAGE,99_SUBMISSION_PACKAGE,,True,0,2026-03-24T08:30:38.421595-04:00,ai_governance,99 package
local,/home/cerebrhoe/governance-project,/home/cerebrhoe/governance-project/04_IMPLEMENTATION_SURFACES,04_IMPLEMENTATION_SURFACES,,True,0,2026-03-25T01:15:03.815643-04:00,ai_governance,04 implementation surfaces
local,/home/cerebrhoe/governance-project,/home/cerebrhoe/governance-project/90_CONSOLIDATED_FINAL_SYNTHESIS,90_CONSOLIDATED_FINAL_SYNTHESIS,,True,0,2026-03-24T08:49:37.689065-04:00,ai_governance,90 consolidated synthesis
local,/home/cerebrhoe/governance-project,/home/cerebrhoe/governance-project/DATA/CONTROLS,CONTROLS,,True,0,2026-03-24T08:30:38.425595-04:00,ai_governance,controls
local,/home/cerebrhoe/governance-project,/home/cerebrhoe/governance-project/DATA/RAW,RAW,,True,0,2026-03-24T08:30:38.421595-04:00,ai_governance,raw
local,/home/cerebrhoe/governance-project,/home/cerebrhoe/governance-project/DATA/MANIFESTS,MANIFESTS,,True,0,2026-03-24T08:30:38.425595-04:00,ai_governance,manifests
local,/home/cerebrhoe/governance-project,/home/cerebrhoe/governance-project/DATA/LOGS,LOGS,,True,0,2026-03-24T08:30:38.433595-04:00,ai_governance,logs
local,/home/cerebrhoe/governance-project,/home/cerebrhoe/governance-project/01_PHASE1_IGNITION_LABORATORY_GOVERNANCE_PROTOCOL/01_phase1-readme.md,01_phase1-readme.md,.md,False,2438,2026-03-24T08:35:51.675882-04:00,ai_governance,01 phase1 readme
local,/home/cerebrhoe/governance-project,/home/cerebrhoe/governance-project/01_PHASE1_IGNITION_LABORATORY_GOVERNANCE_PROTOCOL/01_buffy-cluster-analysis.md,01_buffy-cluster-analysis.md,.md,False,6892,2026-03-24T08:39:23.078812-04:00,ai_governance,01 buffy cluster analysis
local,/home/cerebrhoe/governance-project,/home/cerebrhoe/governance-project/01_PHASE1_IGNITION_LABORATORY_GOVERNANCE_PROTOCOL/01_sealed-card-protocol-analysis.md,01_sealed-card-protocol-analysis.md,.md,False,5266,2026-03-24T08:38:08.236362-04:00,ai_governance,01 sealed card protocol analysis
local,/home/cerebrhoe/governance-project,/home/cerebrhoe/governance-project/01_PHASE1_IGNITION_LABORATORY_GOVERNANCE_PROTOCOL/01_phase1-explainer.md,01_phase1-explainer.md,.md,False,8302,2026-03-24T08:36:32.037206-04:00,ai_governance,01 phase1 explainer
