topic,normalized_stem,local_paths,drive_match,reason
ai_governance,00 archive inventory,/home/cerebrhoe/governance-project/00_ROOT_AND_ARCHIVE_LOGIC/00_archive-inventory.md,,Topical local file has no matching normalized stem on scanned Drive roots.
ai_governance,00 duplicate mirror register,/home/cerebrhoe/governance-project/00_ROOT_AND_ARCHIVE_LOGIC/00_duplicate-mirror-register.md,,Topical local file has no matching normalized stem on scanned Drive roots.
ai_governance,00 evidence hierarchy,/home/cerebrhoe/governance-project/00_ROOT_AND_ARCHIVE_LOGIC/00_evidence-hierarchy.md,,Topical local file has no matching normalized stem on scanned Drive roots.
ai_governance,00 functional classification map,/home/cerebrhoe/governance-project/00_ROOT_AND_ARCHIVE_LOGIC/00_functional-classification-map.md,,Topical local file has no matching normalized stem on scanned Drive roots.
ai_governance,00 master ethics methods,/mnt/c/Users/softinfo/Documents/PAPERS_MASTER_CONSOLIDATED_2026-04-10/PHASE_0_FOUNDATIONS/00_Master_Ethics_Methods.odt,,Topical local file has no matching normalized stem on scanned Drive roots.
ai_governance,00 metadata chronology,/home/cerebrhoe/governance-project/00_ROOT_AND_ARCHIVE_LOGIC/00_metadata-chronology.md,,Topical local file has no matching normalized stem on scanned Drive roots.
ai_governance,00 project map,/home/cerebrhoe/governance-project/00_ROOT_AND_ARCHIVE_LOGIC/00_project-map.md,,Topical local file has no matching normalized stem on scanned Drive roots.
ai_governance,01 ai anxiety to recursive governance ai society manuscript,/mnt/c/Users/softinfo/Documents/PAPERS_MASTER_CONSOLIDATED_2026-04-10/PHASE_2_RECURSIVE_GOVERNANCE_UNDER_CONSTRAINT/01_AI_Anxiety_to_Recursive_Governance_AI_Society_Manuscript.docx || /mnt/c/Users/softinfo/Documents/PAPERS_MASTER_CONSOLIDATED_2026-04-10/PHASE_2_RECURSIVE_GOVERNANCE_UNDER_CONSTRAINT/01_AI_Anxiety_to_Recursive_Governance_AI_Society_Manuscript.md,,Topical local file has no matching normalized stem on scanned Drive roots.
ai_governance,01 ai society control register appendix,/mnt/c/Users/softinfo/Documents/PAPERS_MASTER_CONSOLIDATED_2026-04-10/PHASE_2_RECURSIVE_GOVERNANCE_UNDER_CONSTRAINT/01_AI_Society_Control_Register_Appendix.md,,Topical local file has no matching normalized stem on scanned Drive roots.
ai_governance,01 ai society cover letter,/mnt/c/Users/softinfo/Documents/PAPERS_MASTER_CONSOLIDATED_2026-04-10/PHASE_2_RECURSIVE_GOVERNANCE_UNDER_CONSTRAINT/01_AI_Society_Cover_Letter.pdf,,Topical local file has no matching normalized stem on scanned Drive roots.
ai_governance,01 ai society note,/mnt/c/Users/softinfo/Documents/PAPERS_MASTER_CONSOLIDATED_2026-04-10/PHASE_2_RECURSIVE_GOVERNANCE_UNDER_CONSTRAINT/01_AI_Society_Submission_Note.docx,,Topical local file has no matching normalized stem on scanned Drive roots.
ai_governance,01 ai society reviewer appendix,/mnt/c/Users/softinfo/Documents/PAPERS_MASTER_CONSOLIDATED_2026-04-10/PHASE_2_RECURSIVE_GOVERNANCE_UNDER_CONSTRAINT/01_AI_Society_Reviewer_Appendix.docx,,Topical local file has no matching normalized stem on scanned Drive roots.
ai_governance,01 ai society supplementary workflow schematic,/mnt/c/Users/softinfo/Documents/PAPERS_MASTER_CONSOLIDATED_2026-04-10/PHASE_2_RECURSIVE_GOVERNANCE_UNDER_CONSTRAINT/01_AI_Society_Supplementary_Workflow_Schematic.docx,,Topical local file has no matching normalized stem on scanned Drive roots.
ai_governance,01 ai society title page,/mnt/c/Users/softinfo/Documents/PAPERS_MASTER_CONSOLIDATED_2026-04-10/PHASE_2_RECURSIVE_GOVERNANCE_UNDER_CONSTRAINT/01_AI_Society_Title_Page.docx,,Topical local file has no matching normalized stem on scanned Drive roots.
ai_governance,01 buffy cluster analysis,/home/cerebrhoe/governance-project/01_PHASE1_IGNITION_LABORATORY_GOVERNANCE_PROTOCOL/01_buffy-cluster-analysis.md,,Topical local file has no matching normalized stem on scanned Drive roots.
ai_governance,01 master recursive deterministic ai governance,/mnt/c/Users/softinfo/Documents/PAPERS_MASTER_CONSOLIDATED_2026-04-10/APEX_SUBMISSIONS/01_Master__Recursive_Deterministic_AI_Governance.docx || /mnt/c/Users/softinfo/Documents/PAPERS_MASTER_CONSOLIDATED_2026-04-10/APEX_SUBMISSIONS/01_Master__Recursive_Deterministic_AI_Governance.md,,Topical local file has no matching normalized stem on scanned Drive roots.
ai_governance,01 master recursive deterministic ai governance apex,/mnt/c/Users/softinfo/Documents/PAPERS_MASTER_CONSOLIDATED_2026-04-10/PHASE_2_RECURSIVE_GOVERNANCE_UNDER_CONSTRAINT/01_Master_Recursive_Deterministic_AI_Governance_apex.md,,Topical local file has no matching normalized stem on scanned Drive roots.
ai_governance,01 phase1 chronology,/home/cerebrhoe/governance-project/01_PHASE1_IGNITION_LABORATORY_GOVERNANCE_PROTOCOL/01_phase1-chronology.md,,Topical local file has no matching normalized stem on scanned Drive roots.
ai_governance,01 phase1 explainer,/home/cerebrhoe/governance-project/01_PHASE1_IGNITION_LABORATORY_GOVERNANCE_PROTOCOL/01_phase1-explainer.md,,Topical local file has no matching normalized stem on scanned Drive roots.
ai_governance,01 phase1 manifest,/home/cerebrhoe/governance-project/01_PHASE1_IGNITION_LABORATORY_GOVERNANCE_PROTOCOL/01_phase1-manifest.md,,Topical local file has no matching normalized stem on scanned Drive roots.
ai_governance,01 phase1 method notes,/home/cerebrhoe/governance-project/01_PHASE1_IGNITION_LABORATORY_GOVERNANCE_PROTOCOL/01_phase1-method-notes.md,,Topical local file has no matching normalized stem on scanned Drive roots.
ai_governance,01 phase1 readme,/home/cerebrhoe/governance-project/01_PHASE1_IGNITION_LABORATORY_GOVERNANCE_PROTOCOL/01_phase1-readme.md,,Topical local file has no matching normalized stem on scanned Drive roots.
ai_governance,01 sealed card protocol analysis,/home/cerebrhoe/governance-project/01_PHASE1_IGNITION_LABORATORY_GOVERNANCE_PROTOCOL/01_sealed-card-protocol-analysis.md,,Topical local file has no matching normalized stem on scanned Drive roots.
ai_governance,01 violet gem alambic master key analysis,/home/cerebrhoe/governance-project/01_PHASE1_IGNITION_LABORATORY_GOVERNANCE_PROTOCOL/01_violet-gem-alambic-master-key-analysis.md,,Topical local file has no matching normalized stem on scanned Drive roots.
ai_governance,02 aigov1 voiceop1 classification,/home/cerebrhoe/governance-project/02_GOVERNANCE_REVISION_SKILLS_META/02_aigov1-voiceop1-classification.md,,Topical local file has no matching normalized stem on scanned Drive roots.
ai_governance,02 aigov2 voiceop2 classification,/home/cerebrhoe/governance-project/02_GOVERNANCE_REVISION_SKILLS_META/02_aigov2-voiceop2-classification.md,,Topical local file has no matching normalized stem on scanned Drive roots.
ai_governance,02 governance revision lineage,/home/cerebrhoe/governance-project/02_GOVERNANCE_REVISION_SKILLS_META/02_governance-revision-lineage.md,,Topical local file has no matching normalized stem on scanned Drive roots.
ai_governance,02 manifest,/home/cerebrhoe/governance-project/02_GOVERNANCE_REVISION_SKILLS_META/02_manifest.md,,Topical local file has no matching normalized stem on scanned Drive roots.
ai_governance,02 skill distribution map,/home/cerebrhoe/governance-project/02_GOVERNANCE_REVISION_SKILLS_META/02_skill-distribution-map.md,,Topical local file has no matching normalized stem on scanned Drive roots.
ai_governance,03 continuity coupling explainer,/home/cerebrhoe/governance-project/03_CONTINUITY_COUPLING_TOPOLOGY/03_continuity-coupling-explainer.md,,Topical local file has no matching normalized stem on scanned Drive roots.
ai_governance,03 nonconvergence governance note,/home/cerebrhoe/governance-project/03_CONTINUITY_COUPLING_TOPOLOGY/03_nonconvergence-governance-note.md,,Topical local file has no matching normalized stem on scanned Drive roots.
ai_governance,03 theseus auryn hopf map,/home/cerebrhoe/governance-project/03_CONTINUITY_COUPLING_TOPOLOGY/03_theseus-auryn-hopf-map.md,,Topical local file has no matching normalized stem on scanned Drive roots.
ai_governance,03 topology manifest,/home/cerebrhoe/governance-project/03_CONTINUITY_COUPLING_TOPOLOGY/03_topology-manifest.md,,Topical local file has no matching normalized stem on scanned Drive roots.
ai_governance,04 algorithmic agentic ai governance hegemonic fluency 2013,/mnt/c/Users/softinfo/Documents/PAPERS_MASTER_CONSOLIDATED_2026-04-10/PHASE_1_FIRST_METHOD_RECURSO/04_Algorithmic_Agentic_AI_Governance_Hegemonic_Fluency_2013.docx,,Topical local file has no matching normalized stem on scanned Drive roots.
ai_governance,04 implementation surfaces map,/home/cerebrhoe/governance-project/04_IMPLEMENTATION_SURFACES/04_implementation-surfaces-map.md,,Topical local file has no matching normalized stem on scanned Drive roots.
ai_governance,04 manifest,/home/cerebrhoe/governance-project/04_IMPLEMENTATION_SURFACES/04_manifest.md,,Topical local file has no matching normalized stem on scanned Drive roots.
ai_governance,04 recursive ai governance merged,/mnt/c/Users/softinfo/Documents/PAPERS_MASTER_CONSOLIDATED_2026-04-10/PHASE_1_FIRST_METHOD_RECURSO/04_Recursive_AI_Governance_merged.md,,Topical local file has no matching normalized stem on scanned Drive roots.
